MPI size	gridx	gridy	gridz	gridgapx	gridgapy	gridgapz	nsteps	cal_time
8		256		256		840		5.0000000000000004e-08		5.0000000000000004e-08		5e-09		1001		1:31:55.069614
8		64		64		420		5.0000000000000004e-08		5.0000000000000004e-08		5e-09		1001		0:02:26.161526
7		64		64		420		5.0000000000000004e-08		5.0000000000000004e-08		5e-09		1001		0:02:47.295574
6		64		64		420		5.0000000000000004e-08		5.0000000000000004e-08		5e-09		1001		0:03:13.935029
5		64		64		420		5.0000000000000004e-08		5.0000000000000004e-08		5e-09		1001		0:03:54.811953
4		64		64		420		5.0000000000000004e-08		5.0000000000000004e-08		5e-09		1001		0:05:04.550503
3		64		64		420		5.0000000000000004e-08		5.0000000000000004e-08		5e-09		1001		0:07:23.828057
8		128		128		420		5.0000000000000004e-08		5.0000000000000004e-08		5e-09		1001		0:10:31.514187
7			128		128		420		5.0e-08		5.0e-08		5.0e-09		1001		0:12:08.727788
6			128		128		420		5.0e-08		5.0e-08		5.0e-09		1001			0:14:09.547061
5			128		128		420		5.0e-08		5.0e-08		5.0e-09		1001			0:17:39.907320
